u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Master_Bedroom_3_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000593ce,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,10,14,24
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Guests_Room_1_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-0005936a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,7,14,21
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_9_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000594d7,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,7,14,21
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#WC_10_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000594dd,14,6,20
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_11_ID_247472d7-2999-423e-b39a-162a17ce0746-000595cf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,6,14,20
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_01_6_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000593d7,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,6,14,20
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_02_8_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000593dd,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,6,14,20
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Dressing_Room_4_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000593d1,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,5,14,19
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Entrance_15_ID_918f9b0b-5022-4e9c-b3ee-a270074f0780-0005b390,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,5,14,19
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_5_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-000593d4,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_4e70a1a8-ebdf-4c3e-abbe-e557ad72e5de-00057f76,5,14,19
