u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Entrance_15_ID_918f9b0b-5022-4e9c-b3ee-a270074f0780-0005b390,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057dad,4,5,9
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_11_ID_247472d7-2999-423e-b39a-162a17ce0746-000595cf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057dad,4,5,9
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Office_13_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab8a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057dad,4,5,9
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#GYM_14_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab8d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057dad,4,5,9
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Entrance_15_ID_918f9b0b-5022-4e9c-b3ee-a270074f0780-0005b390,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_11_ID_247472d7-2999-423e-b39a-162a17ce0746-000595cf,4,4,8
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Library_12_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab86,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_3094f2f5-a32a-476b-b4d9-162eeedcf9ec-00057dad,3,5,8
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Guests_Room_1_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-0005936a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Office_13_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab8a,4,4,8
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Entrance_15_ID_918f9b0b-5022-4e9c-b3ee-a270074f0780-0005b390,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#GYM_14_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab8d,4,4,8
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#GYM_14_ID_ade416cd-2b74-4dcd-8ab5-31ce0060c64d-0005ab8d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_11_ID_247472d7-2999-423e-b39a-162a17ce0746-000595cf,4,4,8
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Guests_Room_1_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-0005936a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Living_Room_2_ID_f06c2172-a1d8-454d-af22-b233de16a0c8-0005936d,4,4,8
