u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_6969bcc0-6d63-4824-95c2-7a66e86de64b-000736f0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,33,40,73
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_6969bcc0-6d63-4824-95c2-7a66e86de64b-000736f0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a9c7,33,39,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_0d6084ed-128a-4e21-8f26-11af88df6b9c-00064478,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,32,40,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-000737bf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,31,40,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-000739f6,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,31,40,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_0d6084ed-128a-4e21-8f26-11af88df6b9c-00064478,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a9c7,32,39,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-000739d5,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,31,40,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-00073861,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_d3fcb2cb-2eb1-4aea-aa7c-2bc71d761e38-00063f3a,31,40,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_6969bcc0-6d63-4824-95c2-7a66e86de64b-000736f0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a9ad,33,38,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_6969bcc0-6d63-4824-95c2-7a66e86de64b-000736f0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a9ba,33,38,71
