u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-000739f6,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-00073a1d,44,49,93
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-000737bf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-00073829,49,44,93
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-000739d5,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-00073861,38,38,76
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-000737bf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_134_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d2e5,49,23,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-00073a1d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_131_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d2e2,49,23,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-00073a1d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_97_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d29c,49,22,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-00073a1d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_29_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d210,49,22,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_5a5bc2b6-d082-45f7-be51-bba4e0c7569e-00073a1d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_63_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d256,49,22,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-000737bf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_66_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d259,49,22,71
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_89b2ddf1-7993-4f95-9ef2-28fc4623fa2a-000737bf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Room_32_ID_f295bf8f-afcf-4673-b71b-5a1b7f7ec4fe-0006d213,49,22,71
