u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_4d2b4274-817f-4949-a118-0a6848727b0f-00063820,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer4d2b4274-817f-4949-a118-0a6848727b0f-00063820_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5f3,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5f3,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b581,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b581_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b584,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b584_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-00068727,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer1f16d320-1a7f-4919-af6c-803ef3df7935-00068727_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5fc,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5fc_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b579,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b579_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a61f,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a61f,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-000682a9,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer1f16d320-1a7f-4919-af6c-803ef3df7935-000682a9_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-000684e6,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-000684e6,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b580,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b580_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b578,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b578_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-00068066,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer1f16d320-1a7f-4919-af6c-803ef3df7935-00068066_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-000684e0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-000684e0,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5fe,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layerf86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006a5fe_Concrete_PrecastPanels,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-0006829e,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_1f16d320-1a7f-4919-af6c-803ef3df7935-0006829e,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Interior_Wall_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b578,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_f86f1820-4bc2-4941-ba7f-cd3e282edcc1-0006b578,2,1,3
