u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_27_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d51f,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,8,9,17
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_23_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d513,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,8,9,17
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_25_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d519,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,6,9,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_23_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d513,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bd3e,8,7,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_29_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d580,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,6,9,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_28_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d522,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_24_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d516,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_aba0f691-0a70-4504-9748-a85586cd00e1-0005b6e5,6,8,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_26_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d51c,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005c706,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_21_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d4fa,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_aba0f691-0a70-4504-9748-a85586cd00e1-0005b6e5,6,8,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Living_room_17_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d470,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_aba0f691-0a70-4504-9748-a85586cd00e1-0005b6e5,5,8,13
