u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Living_room_17_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d470,9,8,17
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Guest_Bedroom_20_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d4f7,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,7,9,16
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_23_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d513,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,6,9,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Guest_Bedroom_20_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d4f7,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Living_room_17_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d470,7,8,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_26_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d51c,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,6,9,15
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_25_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d519,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bedroom_23_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d513,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Living_room_17_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d470,6,8,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_21_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d4fa,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Bathroom_24_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d516,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,5,9,14
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Hallway_22_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d502,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Kitchen_16_ID_70abad06-2165-4024-92a7-34c94101a87b-0005d46d,4,9,13
