u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005ba8c,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005ba8c,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bccc,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bccc,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005cc6a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005cc6a,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb69,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb69,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bbe0,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bbe0,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb92,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb92,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Stair_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bd87,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bd87,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005cc13,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005cc13,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bcd8,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bcd8,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bc32,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bc32,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb0a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_3c5b9a92-7fe1-42bb-a0cc-c1c081547795-0005bb0a,1,1,2
