u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Corridor_201_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bd9d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,66,100,166
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Corridor_301_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bddf,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,66,100,166
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Corridor_401_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006be1f,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,40,100,140
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Corridor_101_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bd39,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,40,100,140
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_302_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bde1,100,24,124
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_202_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bd9f,100,24,124
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_311_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdf3,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_304_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bde5,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_211_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdb1,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_227_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdd1,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_310_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdf1,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_205_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bda5,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_204_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bda3,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_203_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bda1,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_212_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdb3,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_210_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bdaf,100,23,123
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Studio_305_ID_1449c76b-ab52-4ff6-8614-9d9332784e09-0006bde7,100,23,123
