u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Base_Slab_ID_922cb13a-df88-4a26-811b-a04d285ea8d5-00065667,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#reinforcement_ID_922cb13a-df88-4a26-811b-a04d285ea8d5-00065667,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Base_Slab_ID_922cb13a-df88-4a26-811b-a04d285ea8d5-00065667,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer922cb13a-df88-4a26-811b-a04d285ea8d5-00065667_Concrete_CastInSitu,2,1,3
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-0006765c,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-0006765c_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_a4f0b4ac-0b38-4d1e-83b7-a79317165401-00064aef,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layera4f0b4ac-0b38-4d1e-83b7-a79317165401-00064aef_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-0006784c,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-0006784c_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067a60,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-00067a60_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_a4f0b4ac-0b38-4d1e-83b7-a79317165401-00064b8b,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layera4f0b4ac-0b38-4d1e-83b7-a79317165401-00064b8b_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067a41,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-00067a41_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067668,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-00067668_ConcreteMasonryUnits,1,1,2
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-0006766a,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#PortionOfConcrete_Layer7678a81d-bc85-4a3e-8321-c6071e661b33-0006766a_ConcreteMasonryUnits,1,1,2
