u,v,deg_u,deg_v,score
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067c19,42,30,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067c10,42,30,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_5e8ae9f3-4355-4c66-aace-8edc7cab48e4-000656ac,42,30,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Slab_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067c07,42,30,72
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067836,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067a1e,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067a1d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067641,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067837,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_5e8ae9f3-4355-4c66-aace-8edc7cab48e4-00065767,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067640,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_5e8ae9f3-4355-4c66-aace-8edc7cab48e4-00065768,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,14,42,56
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067a24,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,4,42,46
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_5e8ae9f3-4355-4c66-aace-8edc7cab48e4-00065773,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,4,42,46
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-0006783d,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,4,42,46
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067647,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,4,42,46
http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Exterior_Wall_ID_a66a8aab-1b48-4911-8c4f-4783afb2255b-00066681,http://quantecton.com/kb/projects/8764c510-57b7-44c3-bddf-266d86c26380-0000c160#Opening_Cut_ID_7678a81d-bc85-4a3e-8321-c6071e661b33-00067d7d,3,42,45
