A,B,S_content,S_typed,S_edge,S_struct,S_total
Building_05_DG.rdf,Building_06_DG.rdf,0.999336688234442,0.8380323262147589,0.0059171597633136,1.0,0.8679991876896157
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.9017140352049376,0.5800988027736782,0.0,0.9995361482556572,0.7863484304184798
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.9074481873528512,0.4655520077918191,0.0,0.9931377717799708,0.7625999664762075
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.9036773327104476,0.3584272973592597,0.0,0.9931377717799708,0.7400437679969745
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.9061031718554612,0.3206736856635662,0.0,0.9891155231408316,0.7316118979456843
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.998398347950789,0.0856636121741107,0.0,0.9941494895920948,0.7143120226568968
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.9968966463588872,0.07399877146615,0.0,0.9941494895920948,0.7115285440377341
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.9023381958595332,0.1699925583778264,0.0,0.9891155231408316,0.7003461796897579
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.9160577549579134,0.0073760054294924,0.0,0.9746961261856344,0.6661709780475262
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.9003121591925124,0.0044710084782246,0.0,0.9674369441024292,0.6579626270943704
