model,motif,share
Building_05_DG.rdf,M2_frameNode,0.005555555555555556
Building_05_DG.rdf,M3_wallSlab,0.011111111111111112
Building_05_DG.rdf,M4_core,0.004444444444444445
Building_05_DG.rdf,M2b_braceNode,0.0022222222222222227
Building_05_DG.rdf,M5_LB,0.0
Building_05_DG.rdf,M5_Shear,0.0
Building_05_DG.rdf,M5_Moment,0.0
Building_05_DG.rdf,M5_Bracing,0.0
Building_06_DG.rdf,M2_frameNode,0.00815217391304348
Building_06_DG.rdf,M3_wallSlab,0.01630434782608696
Building_06_DG.rdf,M4_core,0.006521739130434783
Building_06_DG.rdf,M2b_braceNode,0.0032608695652173916
Building_06_DG.rdf,M5_LB,0.0
Building_06_DG.rdf,M5_Shear,0.0
Building_06_DG.rdf,M5_Moment,0.0
Building_06_DG.rdf,M5_Bracing,0.0
Freiform_Haus_DG.rdf,M2_frameNode,0.00974025974025974
Freiform_Haus_DG.rdf,M3_wallSlab,0.015584415584415588
Freiform_Haus_DG.rdf,M4_core,0.007792207792207794
Freiform_Haus_DG.rdf,M2b_braceNode,0.003896103896103897
Freiform_Haus_DG.rdf,M5_LB,0.0
Freiform_Haus_DG.rdf,M5_Shear,0.0
Freiform_Haus_DG.rdf,M5_Moment,0.0
Freiform_Haus_DG.rdf,M5_Bracing,0.0
Option03_Revising_DG.rdf,M2_frameNode,0.001295336787564767
Option03_Revising_DG.rdf,M3_wallSlab,0.0036269430051813485
Option03_Revising_DG.rdf,M4_core,0.0010362694300518136
Option03_Revising_DG.rdf,M2b_braceNode,0.0005181347150259068
Option03_Revising_DG.rdf,M5_LB,0.0
Option03_Revising_DG.rdf,M5_Shear,0.0
Option03_Revising_DG.rdf,M5_Moment,0.0
Option03_Revising_DG.rdf,M5_Bracing,0.0
Option04_Rev03_DG.rdf,M2_frameNode,0.0016891891891891895
Option04_Rev03_DG.rdf,M3_wallSlab,0.004391891891891892
Option04_Rev03_DG.rdf,M4_core,0.0013513513513513516
Option04_Rev03_DG.rdf,M2b_braceNode,0.0006756756756756758
Option04_Rev03_DG.rdf,M5_LB,0.0
Option04_Rev03_DG.rdf,M5_Shear,0.0
Option04_Rev03_DG.rdf,M5_Moment,0.0
Option04_Rev03_DG.rdf,M5_Bracing,0.0
