model,type,count
Building_05_DG.rdf,Beam,5
Building_05_DG.rdf,Brace,2
Building_05_DG.rdf,Column,5
Building_05_DG.rdf,Core,4
Building_05_DG.rdf,Foundation,6
Building_05_DG.rdf,Slab,10
Building_05_DG.rdf,Wall,111
Building_06_DG.rdf,Beam,5
Building_06_DG.rdf,Brace,2
Building_06_DG.rdf,Column,7
Building_06_DG.rdf,Core,4
Building_06_DG.rdf,Foundation,6
Building_06_DG.rdf,Slab,10
Building_06_DG.rdf,Wall,66
Freiform_Haus_DG.rdf,Beam,5
Freiform_Haus_DG.rdf,Brace,2
Freiform_Haus_DG.rdf,Column,5
Freiform_Haus_DG.rdf,Core,4
Freiform_Haus_DG.rdf,Foundation,6
Freiform_Haus_DG.rdf,Slab,8
Freiform_Haus_DG.rdf,Wall,55
Option03_Revising_DG.rdf,Beam,5
Option03_Revising_DG.rdf,Brace,2
Option03_Revising_DG.rdf,Column,23
Option03_Revising_DG.rdf,Core,4
Option03_Revising_DG.rdf,Foundation,6
Option03_Revising_DG.rdf,Slab,14
Option03_Revising_DG.rdf,Wall,533
Option04_Rev03_DG.rdf,Beam,5
Option04_Rev03_DG.rdf,Brace,2
Option04_Rev03_DG.rdf,Column,76
Option04_Rev03_DG.rdf,Core,4
Option04_Rev03_DG.rdf,Foundation,6
Option04_Rev03_DG.rdf,Slab,13
Option04_Rev03_DG.rdf,Wall,346
