,2_Floor_Haus_BuildingArabic05.rdf,2_Floor_Haus_BuildingArabic06.rdf,2_Floor_Haus_Peri.rdf,2_Floor_RevitDemo_StructuralPlan_Building08.rdf,2_Floor_SlopedRoof_Revit-2026.rdf,7_Floor_Individualized Columns_Building04.rdf,8_Floor_Pattern Freeform Columns_Building03.rdf,Building_05_DG.rdf,Building_06_DG.rdf,DFAB_Analog_Building07.rdf
2_Floor_Haus_BuildingArabic05.rdf,1.0,0.9659724837447634,0.9947053358741795,0.999838276114894,0.9999917833638601,0.8978078786213755,0.8896097800246174,0.9997456150223645,0.9849098488840307,0.9975210900757956
2_Floor_Haus_BuildingArabic06.rdf,0.9659724837447634,1.0,0.9347237204149066,0.9612109322630571,0.9649254501543898,0.9805668026360064,0.9767247601036535,0.9599528797682699,0.9961144092038308,0.981693238809042
2_Floor_Haus_Peri.rdf,0.9947053358741795,0.9347237204149066,1.0,0.9963909704663133,0.9951132525529189,0.8496313967221478,0.8399997756909666,0.9967683030903689,0.962080350304392,0.9850351584761667
2_Floor_RevitDemo_StructuralPlan_Building08.rdf,0.999838276114894,0.9612109322630571,0.9963909704663133,1.0,0.9999029620815199,0.8899758099328157,0.8815139687929003,0.999989549599342,0.9816525397369402,0.996095509177379
2_Floor_SlopedRoof_Revit-2026.rdf,0.9999917833638601,0.9649254501543898,0.9951132525529189,0.9999029620815199,1.0,0.8960648378779268,0.8878068233066512,0.9998288277254613,0.9842029718066142,0.9972278342383905
7_Floor_Individualized Columns_Building04.rdf,0.8978078786213755,0.9805668026360064,0.8496313967221478,0.8899758099328157,0.8960648378779268,1.0,0.999823071226143,0.887944512363759,0.9596561583701255,0.9259602560349754
8_Floor_Pattern Freeform Columns_Building03.rdf,0.8896097800246174,0.9767247601036535,0.8399997756909666,0.8815139687929003,0.8878068233066512,0.999823071226143,1.0,0.8794164948589466,0.9542594628968811,0.9188445538368355
Building_05_DG.rdf,0.9997456150223645,0.9599528797682699,0.9967683030903689,0.999989549599342,0.9998288277254613,0.887944512363759,0.8794164948589466,1.0,0.9807747898459471,0.9956819344718081
Building_06_DG.rdf,0.9849098488840307,0.9961144092038308,0.962080350304392,0.9816525397369402,0.9842029718066142,0.9596561583701255,0.9542594628968811,0.9807747898459471,1.0,0.9946303260415149
DFAB_Analog_Building07.rdf,0.9975210900757956,0.981693238809042,0.9850351584761667,0.996095509177379,0.9972278342383905,0.9259602560349754,0.9188445538368355,0.9956819344718081,0.9946303260415149,1.0
