,2_Floor_Haus_BuildingArabic05.rdf,2_Floor_Haus_BuildingArabic06.rdf,2_Floor_Haus_Peri.rdf,2_Floor_RevitDemo_StructuralPlan_Building08.rdf,2_Floor_SlopedRoof_Revit-2026.rdf,7_Floor_Individualized Columns_Building04.rdf,8_Floor_Pattern Freeform Columns_Building03.rdf,Building_05_DG.rdf,Building_06_DG.rdf,DFAB_Analog_Building07.rdf
2_Floor_Haus_BuildingArabic05.rdf,1.0,0.9987596923289985,0.9925676736415898,0.9145042554539624,0.9891914586526687,0.9211924900188392,0.994942673927349,1.0,0.9987596923289985,0.9814248922106522
2_Floor_Haus_BuildingArabic06.rdf,0.9987596923289985,1.0,0.9973917960354506,0.9318057446024106,0.9950611605791053,0.9391140431409699,0.9887216453204475,0.9987596923289985,0.9999999999999999,0.9897349465574683
2_Floor_Haus_Peri.rdf,0.9925676736415898,0.9973917960354506,1.0,0.9530732096948122,0.9992050846500992,0.9612156693035339,0.9754003428797196,0.9925676736415898,0.9973917960354506,0.9974621976106125
2_Floor_RevitDemo_StructuralPlan_Building08.rdf,0.9145042554539624,0.9318057446024106,0.9530732096948122,1.0,0.9627976763044783,0.9894921297661916,0.8733697238311032,0.9145042554539624,0.9318057446024106,0.9694214199153516
2_Floor_SlopedRoof_Revit-2026.rdf,0.9891914586526687,0.9950611605791053,0.9992050846500992,0.9627976763044783,1.0,0.9663117362687037,0.9699678806922244,0.9891914586526687,0.9950611605791053,0.9981903127699314
7_Floor_Individualized Columns_Building04.rdf,0.9211924900188392,0.9391140431409699,0.9612156693035339,0.9894921297661916,0.9663117362687037,1.0,0.878707185956557,0.9211924900188392,0.9391140431409699,0.9783035080205948
8_Floor_Pattern Freeform Columns_Building03.rdf,0.994942673927349,0.9887216453204475,0.9754003428797196,0.8733697238311032,0.9699678806922244,0.878707185956557,1.0,0.994942673927349,0.9887216453204475,0.957400378426808
Building_05_DG.rdf,1.0,0.9987596923289985,0.9925676736415898,0.9145042554539624,0.9891914586526687,0.9211924900188392,0.994942673927349,1.0,0.9987596923289985,0.9814248922106522
Building_06_DG.rdf,0.9987596923289985,0.9999999999999999,0.9973917960354506,0.9318057446024106,0.9950611605791053,0.9391140431409699,0.9887216453204475,0.9987596923289985,1.0,0.9897349465574683
DFAB_Analog_Building07.rdf,0.9814248922106522,0.9897349465574683,0.9974621976106125,0.9694214199153516,0.9981903127699314,0.9783035080205948,0.957400378426808,0.9814248922106522,0.9897349465574683,1.0
